"time";"cases";"deaths";"hospitalized";"icu";"recovered"
2020-02-29;0;0;;;
2020-03-01;0;0;;;
2020-03-02;0;0;;;
2020-03-03;0;0;;;
2020-03-04;0;0;;;
2020-03-05;0;0;;;
2020-03-06;0;0;;;
2020-03-07;0;0;;;
2020-03-08;0;0;;;
2020-03-09;0;0;;;
2020-03-10;0;0;;;
2020-03-11;0;0;;;
2020-03-12;0;0;;;
2020-03-13;0;0;;;
2020-03-14;0;0;;;
2020-03-15;0;0;;;
2020-03-16;0;0;;;
2020-03-17;0;0;;;
2020-03-18;1;0;;;
2020-03-19;4;0;;;
2020-03-20;5;0;;;
2020-03-21;6;0;;;
2020-03-22;6;0;;;
2020-03-23;9;0;;;
2020-03-24;9;0;;;
2020-03-25;9;0;;;
2020-03-26;9;0;;;
2020-03-27;9;0;;;
2020-03-28;9;0;;;
2020-03-29;10;0;;;
2020-03-30;10;0;;;
2020-03-31;10;0;;;
2020-04-01;10;0;;;
2020-04-02;10;0;;;
2020-04-03;10;0;;;
2020-04-04;10;0;;;
2020-04-05;10;0;;;
2020-04-06;10;0;;;
2020-04-07;14;0;0;0;
2020-04-08;15;0;0;0;
2020-04-09;15;0;0;1;
2020-04-10;15;0;0;1;
2020-04-11;15;0;0;1;
2020-04-12;15;0;0;1;
2020-04-13;21;0;0;1;
2020-04-14;25;0;0;1;
2020-04-15;25;0;0;1;
2020-04-16;25;0;1;1;
2020-04-17;25;0;1;1;
2020-04-18;25;0;1;1;
2020-04-19;25;0;3;0;
2020-04-20;25;0;0;3;
2020-04-21;25;0;3;0;
2020-04-22;25;0;3;0;
2020-04-23;25;0;3;1;
2020-04-24;28;0;3;0;
2020-04-25;28;0;3;1;
2020-04-26;28;0;2;0;
2020-04-27;30;0;2;0;
2020-04-28;31;0;4;3;
2020-04-29;31;0;1;3;
2020-04-30;31;0;1;3;
2020-05-01;31;0;0;3;
2020-05-02;31;0;0;3;
2020-05-03;33;0;0;3;
2020-05-04;33;0;0;4;
2020-05-05;34;0;1;5;
2020-05-06;34;0;1;6;
2020-05-07;36;0;3;7;
2020-05-08;36;0;3;7;
2020-05-09;37;0;2;9;
2020-05-10;37;0;2;9;
2020-05-11;37;0;1;10;
2020-05-12;37;0;1;10;
2020-05-13;37;0;3;10;
2020-05-14;37;0;4;9;
