"time";"cases";"deaths";"hospitalized";"icu";"recovered"
2020-02-29;0;0;;;
2020-03-01;0;0;;;
2020-03-02;0;0;;;
2020-03-03;0;0;;;
2020-03-04;0;0;;;
2020-03-05;0;0;;;
2020-03-06;0;0;;;
2020-03-07;0;0;;;
2020-03-08;0;0;;;
2020-03-09;0;0;;;
2020-03-10;0;0;;;
2020-03-11;0;0;;;
2020-03-12;0;0;;;
2020-03-13;0;0;;;
2020-03-14;0;0;;;
2020-03-15;0;0;;;
2020-03-16;2;0;;;
2020-03-17;3;0;;;
2020-03-18;3;0;;;
2020-03-19;3;0;;;
2020-03-20;3;0;;;
2020-03-21;3;0;;;
2020-03-22;3;0;;;
2020-03-23;3;0;;;
2020-03-24;3;0;;;
2020-03-25;3;0;;;
2020-03-26;3;0;;;
2020-03-27;3;0;;;
2020-03-28;3;0;;;
2020-03-29;3;0;;;
2020-03-30;3;0;;;
2020-03-31;3;0;;;
2020-04-01;3;0;;;
2020-04-02;3;0;;;
2020-04-03;3;0;;;
2020-04-04;3;0;;;
2020-04-05;3;0;;;
2020-04-06;3;0;;;
2020-04-07;4;0;0;0;
2020-04-08;4;0;0;0;
2020-04-09;4;0;0;0;
2020-04-10;4;0;0;0;
2020-04-11;4;0;0;0;
2020-04-12;4;0;0;0;
2020-04-13;4;0;0;0;
2020-04-14;4;0;0;0;
2020-04-15;4;0;0;0;
2020-04-16;4;0;0;0;
2020-04-17;4;0;0;0;
2020-04-18;4;0;0;0;
2020-04-19;4;0;0;0;
2020-04-20;5;0;0;0;
2020-04-21;5;0;0;0;
2020-04-22;6;0;0;0;
2020-04-23;8;1;2;0;
2020-04-24;9;1;1;1;
2020-04-25;9;1;1;1;
2020-04-26;9;1;1;2;
2020-04-27;11;1;2;2;
2020-04-28;11;1;6;2;
2020-04-29;14;1;4;2;
2020-04-30;14;1;4;2;
2020-05-01;14;1;2;2;
2020-05-02;14;1;2;2;
2020-05-03;15;1;3;2;
2020-05-04;15;1;3;2;
2020-05-05;16;1;3;2;
2020-05-06;18;1;2;2;
2020-05-07;20;1;3;2;
2020-05-08;21;1;1;4;
2020-05-09;21;1;3;4;
2020-05-10;21;1;5;3;
2020-05-11;21;1;2;6;
2020-05-12;22;1;3;4;
2020-05-13;22;1;1;4;
2020-05-14;22;1;6;4;
